chemical_id,cas_number,chemical_name,chemical_class,toxicity_score_ewg,melanin_interaction,chronic_skin_trigger,regulatory_status_eu,regulatory_status_fda,primary_health_concern,risk_weight_multiplier ,behavioral_intervention_framework
MCSI-011,93-15-2,Methyl Eugenol,Fragrance,8,Demographic Exposure Over-Indexing,Contact Dermatitis,Banned,Unregulated,"Direct cellular mutagenesis, covalent DNA adduct formation, & systemic organ tumor induction",2.5,Health Belief Model (HBM) - Perceived Susceptibility & Severity
MCSI-012,548-62-9,Basic Violet 3,Synthetic Dye,7,Demographic Exposure Over-Indexing,"Contact Dermatitis, Atopic Dermatitis/Eczema",Banned,Unregulated,"High-velocity dermal sensitization, severe scalp eczema induction, & potential systemic carcinogenicity",2.2,Health Belief Model (HBM) - Perceived Susceptibility & Severity
MCSI-013,80-54-6,Lilial,Fragrance,8,Demographic Exposure Over-Indexing,Contact Dermatitis,Banned,Unregulated,"Endocrine disruption, Type 1B reproductive toxicity, & chronic dermal sensitization",2.4,Health Belief Model (HBM) - Perceived Susceptibility & Severity
MCSI-014,111-42-2,Diethanolamine (DEA),Surfactant,10,Demographic Exposure Over-Indexing,Contact Dermatitis,Banned,Unregulated,"Direct cellular mutagenesis, nitrosamine formation, & systemic hepatic/renal tumor induction",2.5,Health Belief Model (HBM) - Perceived Susceptibility & Severity
MCSI-015,68140-00-1,Cocamide MEA,Surfactant,4,Demographic Exposure Over-Indexing,Contact Dermatitis,Restricted,Allowed,"Localized dermal sensitization, secondary nitrosamine contamination pathways, & potential cellular mutagenesis",1.8,Health Belief Model (HBM) - Perceived Susceptibility & Severity
MCSI-016,31906-04-4,Lyral (Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde) ,Fragrance,6,Demographic Exposure Over-Indexing,Contact Dermatitis,Banned,Allowed,"Potent dermal sensitization, chronic contact dermatitis induction, & irreversible immune-system allergy signaling",2.3,Health Belief Model (HBM) - Perceived Susceptibility & Severity
MCSI-017,5413-75-2,Acid Red 73,Synthetic Dye,5,"Photosensitivity, Post-Inflammatory Hyperpigmentation (PIH)",Melasma,Banned,Allowed,"High-velocity phototoxic skin cell destruction, severe solar photosensitivity induction, & chronic post-inflammatory hyperpigmentation",1.9,Health Belief Model (HBM) - Perceived Susceptibility & Severity
MCSI-018,118-58-1,Benzyl Salicylate,Fragrance,5,Post-Inflammatory Hyperpigmentation (PIH),Lichen Planus,Restricted,Allowed,"High-velocity photoallergic cellular mutation, endocrine receptor disruption, & chronic lichen planus induction",1.8,Theory of Planned Behavior (TPB) - Subjective Norms
MCSI-019,2611-00-4,Acid Red 18,Synthetic Dye,4,Demographic Exposure Over-Indexing,Alopecia (LPP Scalp Scarring),Banned,Allowed,"High-velocity follicular infundibulum inflammation, potential aromatic amine breakdown, & chronic lichen planopilaris (LPP) scarring induction",2.1,Health Belief Model (HBM) - Perceived Susceptibility & Severity
MCSI-020,3761-53-3,Acid Red 26,Synthetic Dye,8,Photosensitivity/Phototoxicity,Melasma,Banned,Unregulated,"Direct carcinogenic dimethylaniline degradation pathways, systemic organ cellular mutation, & chronic photosensitive melasma induction",2.4,Health Belief Model (HBM) - Perceived Susceptibility & Severity
MCSI-021,4247-02-3,Isobutylparaben,Preservative,10,Photosensitivity/Phototoxicity,Melasma,Banned,Allowed,"High-velocity estrogenic endocrine receptor disruption, cellular photosensitization, & chronic melasma induction",2.4,Self-Determination Theory (SDT) - Autonomy & Competence
MCSI-022,4191-73-5,Isopropylparaben,Preservative,10,Photosensitivity/Phototoxicity,Melasma,Banned,Allowed,"High-velocity estrogenic endocrine receptor disruption, localized cellular photosensitization, & chronic melasma induction",2.5,Self-Determination Theory (SDT) - Autonomy & Competence
MCSI-023,7440-43-9,Cadmium,Heavy Metal (Contaminant),10,Photosensitivity/Phototoxicity,Lichen Planus,Banned,Allowed,"High-velocity systemic nephrotoxicity, cellular bioaccumulation, carcinogenic signaling pathways, & chronic lichen planus dermal induction",2.5,Socioecological Model (SEM) - Institutional / Policy Level
MCSI-024,90028-68-5,Oakmoss Absolute (Evernia prunastri),Fragrance,3,Exogenous Ochronosis,Lichen Planus,Restricted,Allowed,"High-velocity T-cell mediated contact allergen signaling, dermal collagen matrix disruption, & chronic lichen planus lesion induction",1.6,Socioecological Model (SEM) - Public Policy / Industry Level
MCSI-025,10361-37-2,Barium Chloride,Heavy Metal (Contaminant),10,Photosensitivity/Phototoxicity,Lichen Planus,Banned,Allowed,"High-velocity systemic cardiovascular/neuromuscular disruption, localized cellular enzyme inhibition, tissue bioaccumulation, & chronic lichen planus induction",2.5,Socioecological Model (SEM) - Public Policy / Industry Level
MCSI-026,123-31-9,Hydroquinone ,Preservative,8,"Exogenous Ochronosis, Chemical Leukoderma (Hypopigmentation), Post-Inflammatory Hyperpigmentation (PIH), Photosensitivity/Phototoxicity, Demographic Exposure Over-Indexing","Alopecia (LPP Scalp Scarring), Contact Dermatitis, Melasma",Banned,Banned,"Severe melanocyte destruction and deep dermal toxicity. Prolonged use disrupts cellular collagen integrity, degrades skin elasticity, destroys healthy pigment distribution, and causes permanent, irreversible deep-tissue mutations",2.0,Transtheoretical Model (TTM) - Consciousness Raising & Self-Reevaluation
MCSI-027,99-76-3,Methylparaben,Preservative,4,Photosensitivity/Phototoxicity,"Atopic Dermatitis/Eczema, Contact Dermatitis",Allowed,Allowed,"Endocrine Disruption and Tissue Accumulation. It functions as a known xenoestrogen, mimicking natural estrogen hormones by binding directly to cellular receptors, and bioaccumulates consistently within human breast tissue matrices over long periods",1.4,Transtheoretical Model (TTM) - Consciousness Raising & Self-Reevaluation
MCSI-028,7440-02-0,Nickel,Heavy Metal (Contaminant),7,"Photosensitivity/Phototoxicity, Post-Inflammatory Hyperpigmentation (PIH)",Contact Dermatitis,Banned,Unregulated,"Carcinogenicity and Severe Allergenic Sensitization. Prolonged systemic exposure is heavily linked to respiratory tract cancers, reproductive dysfunction, and lifetime immune system hypersensitivity",2.4,Transtheoretical Model (TTM) - Consciousness Raising & Self-Reevaluation
MCSI-029,1314-13-2,Zinc Oxide,Heavy Metal (Contaminant),2,"Photosensitivity/Phototoxicity, Post-Inflammatory Hyperpigmentation (PIH)","Contact Dermatitis, Atopic Dermatitis/Eczema",Restricted,Allowed,"Systemic Bioaccumulation and Cellular Photo-Toxicity. Unrefined mineral mining causes zinc ores to be heavily contaminated with trace Lead, Cadmium, and Arsenic. These hidden heavy metal impurities bioaccumulate inside human organ tissues over time causing deep oxidative cellular mutations",1.6,Social Cognitive Theory (SCT) - Outcome Expectations
MCSI-030,7440-38-2,Arsenic,Heavy Metal (Contaminant),10,"Violaceous/Dusky Erythema, Post-inflammatory Hyperpigmentation (PIH)",Contact Dermatitis,Banned,Unregulated,"Carcinogenicity and Systemic Bioaccumulation. Classified by the International Agency for Research on Cancer (IARC) as a Group 1 Known Human Carcinogen, permanently bioaccumulating inside human organ matrices for over 10-20 years and driving severe neurological, renal, and reproductive toxicity",2.4,Social Cognitive Theory (SCT) - Outcome Expectations
